REVIEWID,HOTELID,SERVICE,PRICE,ROOM,LOCATION,OVERALL
20,16,4,4,3,3,3
21,16,5,5,5,5,5
22,16,5,5,5,5,5
23,16,5,5,5,5,5
24,16,1,1,3,2,1
25,16,1,1,1,1,1
26,16,5,5,5,5,5
27,16,5,5,5,5,5
28,16,4,3,4,3,4
29,16,5,4,5,5,5
30,16,5,4,5,5,5
31,16,5,4,5,5,5
32,16,5,5,5,5,5
33,16,5,4,5,5,4
34,16,5,5,5,5,5
35,16,1,3,3,4,3
36,16,1,1,1,1,1
37,16,1,2,1,1,1
38,16,5,4,5,5,5
39,16,5,4,5,5,5
40,16,4,5,4,4,4
41,16,2,2,2,2,2
42,16,5,5,5,5,5
43,16,4,4,5,5,4
44,16,4,4,4,4,4
45,16,5,5,5,5,5
46,16,3,3,3,3,3
47,16,5,5,5,5,5
48,16,4,5,4,5,4
49,16,5,5,5,5,5
50,16,5,5,5,5,5
51,16,5,5,4,5,4
52,16,2,1,2,3,2
53,16,5,3,4,4,4
54,16,5,4,5,5,5
55,16,5,5,5,5,5
56,16,5,5,5,5,5
57,16,5,5,5,5,5
58,16,5,5,5,5,5
59,16,5,5,5,5,5
60,16,5,4,4,4,4
61,16,5,5,5,5,5
62,16,4,4,4,5,4
63,16,2,1,2,2,2
64,16,4,4,5,4,4
65,16,5,5,5,5,5
66,16,3,3,3,3,3
67,16,5,5,5,5,5
68,16,5,5,5,5,5
69,16,5,5,5,5,5
70,16,5,5,5,5,5
71,16,5,5,5,5,5
72,16,5,5,5,5,5
73,16,5,5,5,5,5
74,16,5,5,5,5,5
75,16,1,1,1,1,1
76,16,1,1,1,1,1
77,16,1,1,1,1,1
78,16,5,5,5,5,5
1,17,5,5,5,5,5
2,17,4,4,4,4,4
3,17,1,1,1,1,1
4,17,1,1,1,1,1
5,17,5,5,5,5,4
1,20,4,4,4,5,4
2,20,4,5,5,5,4
3,20,5,5,5,5,5
4,20,3,5,3,4,3
5,20,5,5,5,5,5
6,20,5,4,5,5,4
7,20,5,5,5,5,5
8,20,5,5,5,5,5
9,20,4,5,4,5,3
10,20,1,1,1,2,1
11,20,5,5,4,5,4
12,20,1,1,1,1,1
13,20,4,5,4,4,4
14,20,5,5,5,5,4
15,20,4,5,4,4,4
16,20,4,3,4,4,4
17,20,5,5,5,5,5
18,20,4,5,4,5,4
19,20,3,5,5,3,3
20,20,5,5,5,5,5
21,20,4,4,4,5,4
22,20,5,5,5,5,4
23,20,2,1,1,2,2
24,20,5,5,5,5,5
25,20,5,5,5,5,5
26,20,5,5,5,5,5
27,20,1,3,3,3,3
28,20,4,4,3,3,3
29,20,5,4,5,5,4
30,20,5,4,4,4,4
31,20,1,1,1,1,1
32,20,1,2,4,2,2
33,20,1,1,1,1,1
34,20,5,4,5,5,4
35,20,5,3,5,4,4
36,20,1,2,3,4,2
37,20,4,4,4,5,4
38,20,5,4,4,5,4
39,20,2,1,2,2,2
40,20,5,5,5,5,5
41,20,3,3,1,3,3
42,20,5,5,5,5,5
43,20,4,4,4,5,4
44,20,3,3,2,3,3
45,20,4,4,4,3,3
46,20,4,4,5,4,4
47,20,3,3,3,4,3
48,20,1,2,1,1,1
49,20,3,4,2,3,2
50,20,1,1,1,1,1
51,20,4,4,4,5,3
52,20,1,2,1,1,1
53,20,4,4,3,5,4
54,20,2,2,1,2,2
55,20,5,4,5,4,4
56,20,3,3,3,1,2
57,20,4,3,2,3,3
58,20,5,5,5,5,5
59,20,5,3,4,5,4
60,20,3,3,2,4,3
61,20,4,4,5,5,4
62,20,3,3,4,4,3
63,20,5,5,5,5,5
64,20,3,3,3,4,3
65,20,1,1,1,1,1
66,20,5,4,5,5,3
67,20,5,5,5,5,5
68,20,3,3,3,4,3
69,20,4,4,1,3,3
70,20,4,5,4,3,4
71,20,5,5,5,5,5
72,20,2,1,1,1,1
73,20,2,2,2,4,2
74,20,1,1,1,1,1
75,20,4,4,4,4,4
76,20,4,5,5,5,4
77,20,3,2,5,3,3
78,20,5,4,5,5,4
79,20,4,4,4,4,4
80,20,2,2,2,3,2
81,20,1,1,1,1,1
82,20,4,4,4,4,4
83,20,1,1,1,1,1
84,20,5,5,5,5,5
85,20,5,5,5,5,5
86,20,1,1,1,1,1
87,20,5,5,5,5,5
88,20,5,5,5,5,5
89,20,5,5,5,5,5
90,20,5,5,5,5,5
91,20,1,1,1,1,1
92,20,5,5,5,5,5
1,23,5,5,5,5,5
2,23,4,4,4,5,4
3,23,5,5,5,5,5
4,23,5,5,5,5,5
5,23,5,5,5,5,5
6,23,5,5,5,5,5
7,23,5,5,5,5,5
8,23,4,4,4,4,4
9,23,4,4,4,4,4
1,27,5,5,5,5,5
2,27,3,4,4,3,3
3,27,5,5,5,5,5
4,27,5,4,4,4,4
5,27,5,5,5,5,5
6,27,4,3,4,5,4
7,27,5,5,5,5,5
8,27,4,3,3,3,3
9,27,5,4,5,5,4
10,27,4,5,4,5,4
11,27,5,5,4,4,4
12,27,3,3,1,4,3
13,27,5,4,4,4,4
14,27,4,4,5,4,4
15,27,5,5,5,5,5
16,27,5,5,5,5,5
17,27,2,2,3,2,2
18,27,4,4,3,3,3
19,27,3,4,3,4,3
20,27,5,5,4,4,4
21,27,5,5,5,5,5
22,27,5,5,5,5,5
23,27,5,4,5,4,5
24,27,4,4,3,5,4
25,27,5,5,5,5,5
26,27,3,3,3,3,3
27,27,5,5,5,5,5
28,27,5,5,5,5,5
29,27,5,5,5,5,5
30,27,4,5,5,5,5
31,27,4,4,4,4,4
32,27,5,5,5,5,5
33,27,4,3,5,5,4
34,27,4,4,4,4,4
35,27,5,4,5,5,4
36,27,5,4,4,5,4
37,27,5,4,4,5,4
38,27,5,4,4,4,4
39,27,5,4,5,3,4
40,27,3,4,3,5,3
41,27,4,4,5,5,4
42,27,5,5,5,5,4
43,27,5,5,5,5,5
44,27,4,5,3,5,3
45,27,4,3,1,5,3
46,27,4,5,5,4,4
47,27,5,4,5,5,4
48,27,3,2,2,4,3
49,27,5,4,4,5,4
50,27,4,3,2,4,3
51,27,5,4,5,5,4
52,27,3,3,1,5,3
53,27,5,5,5,5,5
54,27,5,4,5,4,4
55,27,4,5,5,5,4
56,27,4,5,4,5,4
57,27,5,5,3,4,4
58,27,5,5,4,5,4
59,27,5,3,5,5,5
60,27,4,4,5,5,4
61,27,3,3,3,3,3
62,27,5,5,5,5,5
63,27,5,5,5,5,4
64,27,5,5,5,5,5
65,27,5,5,5,5,5
66,27,5,5,5,4,5
67,27,5,4,4,5,5
68,27,5,4,5,5,4
69,27,4,5,5,4,4
70,27,4,5,5,5,4
71,27,2,3,2,3,2
72,27,4,4,4,4,4
73,27,2,3,1,2,2
74,27,5,5,5,5,5
75,27,5,5,5,5,5
76,27,5,5,5,5,5
77,27,5,5,5,5,5
78,27,5,5,5,5,5
79,27,5,5,5,5,5
80,27,5,5,3,3,3
81,27,5,5,5,4,5
82,27,4,4,5,4,4
83,27,5,3,3,4,3
84,27,5,4,4,5,4
85,27,5,4,5,5,5
86,27,5,5,5,5,5
87,27,4,5,5,5,4
88,27,4,4,4,5,4
89,27,4,4,5,4,4
90,27,5,5,4,5,4
91,27,5,5,5,5,5
92,27,5,5,5,5,5
93,27,5,5,5,5,5
94,27,5,4,4,4,4
95,27,5,5,5,5,5
96,27,5,4,5,4,4
97,27,3,4,4,3,3
98,27,4,5,4,4,4
99,27,4,5,4,5,3
100,27,3,3,3,3,3
101,27,5,5,5,5,5
102,27,1,1,1,1,1
103,27,4,4,4,4,4
104,27,5,5,5,5,5
105,27,5,5,5,5,5
106,27,1,1,1,1,1
107,27,5,5,5,5,5
108,27,5,5,5,5,5
109,27,5,5,5,5,5
110,27,1,1,1,1,1
111,27,1,1,1,1,1
112,27,3,3,3,3,3
1,31,5,5,5,5,5
2,31,4,5,4,4,4
3,31,5,5,4,4,4
4,31,3,3,4,3,3
5,31,5,5,4,5,4
1,36,5,5,5,5,5
2,36,4,4,4,4,4
3,36,4,4,5,5,4
4,36,5,5,5,5,4
5,36,5,5,5,5,5
6,36,5,5,5,4,5
7,36,4,3,4,3,3
8,36,5,5,5,5,5
9,36,5,5,5,5,5
10,36,2,2,3,4,2
11,36,4,4,4,5,4
12,36,1,2,1,1,1
13,36,5,5,5,5,5
14,36,5,5,5,5,5
15,36,4,4,5,5,4
16,36,4,4,4,5,4
17,36,5,4,5,5,4
18,36,5,4,5,4,4
19,36,5,5,5,5,5
20,36,5,5,5,5,5
21,36,5,5,5,5,5
22,36,5,5,5,5,5
23,36,5,5,5,4,4
24,36,4,5,4,5,4
25,36,5,5,5,5,4
26,36,5,5,5,4,5
27,36,5,5,5,5,5
28,36,5,5,5,5,5
29,36,5,5,5,5,5
30,36,5,5,5,5,5
31,36,5,5,5,5,5
32,36,5,4,4,3,4
33,36,5,4,5,4,4
34,36,5,5,5,5,5
35,36,5,4,5,5,4
36,36,5,5,5,5,5
37,36,2,2,3,2,2
38,36,5,5,5,5,5
39,36,5,3,5,3,3
40,36,5,5,3,3,4
41,36,4,5,5,5,4
42,36,2,1,1,1,1
43,36,5,5,5,5,4
44,36,3,3,2,3,3
45,36,3,3,4,5,3
46,36,2,2,2,3,2
47,36,1,4,1,3,2
48,36,5,5,5,5,5
49,36,5,5,5,5,5
50,36,4,5,4,3,3
51,36,3,2,2,4,3
52,36,5,5,5,5,5
53,36,5,5,5,5,5
54,36,4,4,4,4,4
55,36,2,2,1,4,2
56,36,4,3,4,3,3
57,36,5,4,4,4,4
58,36,3,3,2,2,2
59,36,3,3,4,3,3
60,36,5,5,5,5,5
61,36,5,5,5,5,5
62,36,5,4,5,5,4
63,36,1,2,1,1,1
64,36,5,4,4,5,3
65,36,3,2,4,5,3
66,36,5,4,5,5,4
67,36,4,5,4,5,4
68,36,3,3,2,4,3
69,36,5,5,5,5,5
70,36,3,2,3,2,2
71,36,5,3,3,4,3
72,36,4,4,4,4,4
73,36,5,5,5,5,5
74,36,5,5,5,5,5
75,36,4,2,3,4,3
76,36,5,5,5,5,5
77,36,5,4,5,5,5
78,36,4,4,4,4,4
79,36,5,5,5,5,5
80,36,5,5,5,5,5
81,36,5,5,5,5,5
82,36,5,5,5,5,5
83,36,3,3,3,3,3
84,36,5,5,5,5,5
85,36,1,1,1,1,1
86,36,5,5,5,5,5
87,36,5,5,5,5,5
88,36,5,5,5,5,5
89,36,5,5,5,5,5
90,36,1,1,1,1,1
91,36,5,5,5,5,5
92,36,1,1,1,1,1
93,36,1,1,1,1,1
94,36,1,1,1,1,1
95,36,5,5,5,5,5
96,36,5,5,5,5,5
97,36,1,1,1,1,1
98,36,1,1,1,1,1
1,40,5,5,5,5,5
2,40,3,3,4,3,3
3,40,3,3,2,4,3
4,40,5,5,4,4,4
5,40,5,4,4,4,3
6,40,2,3,1,4,2
7,40,5,5,5,5,4
8,40,5,4,5,5,4
9,40,4,5,5,5,4
10,40,3,2,2,2,2
11,40,4,4,5,5,4
12,40,5,5,5,4,4
13,40,5,5,5,5,5
14,40,2,4,2,3,2
15,40,5,4,5,5,4
16,40,5,5,5,5,4
17,40,3,2,3,2,2
18,40,3,3,4,3,3
19,40,5,4,5,5,4
20,40,5,5,5,5,5
21,40,5,5,5,5,5
22,40,4,5,5,5,4
23,40,5,5,5,5,4
24,40,5,5,5,5,5
25,40,4,4,5,5,4
26,40,4,4,5,5,4
27,40,4,4,5,5,4
28,40,5,5,5,4,4
29,40,4,5,5,5,4
30,40,4,5,4,3,3
31,40,4,5,5,5,4
32,40,5,5,5,3,4
33,40,5,5,5,5,5
34,40,5,3,4,5,4
35,40,5,5,5,5,5
36,40,3,4,4,3,3
37,40,2,4,2,3,2
38,40,4,5,5,5,4
39,40,5,5,5,5,5
40,40,5,5,5,5,5
41,40,3,5,4,3,3
42,40,4,5,5,2,4
43,40,4,5,5,5,4
44,40,4,5,4,5,4
45,40,1,1,1,1,1
46,40,5,5,5,5,5
47,40,5,5,5,5,4
48,40,5,4,4,5,4
49,40,5,4,5,5,4
50,40,5,5,5,5,5
51,40,5,5,5,5,5
52,40,5,4,5,5,5
53,40,5,5,5,5,5
54,40,3,4,3,3,3
55,40,1,1,1,1,1
56,40,5,5,5,5,5
57,40,5,5,5,5,5
58,40,3,3,3,3,3
59,40,1,1,1,1,1
60,40,3,3,3,3,3
61,40,1,1,1,1,1
62,40,1,1,1,1,1
63,40,1,1,1,1,1
64,40,1,1,1,1,1
65,40,5,5,5,5,5
66,40,5,5,5,5,5
67,40,5,5,5,5,5
68,40,1,1,1,1,1
69,40,5,5,5,5,5
1,42,5,5,5,5,5
2,42,5,5,5,5,5
3,42,5,5,4,4,4
4,42,5,5,5,5,5
5,42,5,4,4,4,4
6,42,5,5,5,3,5
7,42,4,3,4,4,4
8,42,3,3,3,3,3
9,42,5,5,5,5,5
10,42,4,4,4,5,4
11,42,4,5,4,5,4
12,42,5,5,5,5,5
13,42,2,2,2,1,2
14,42,5,4,4,5,4
15,42,5,5,5,5,5
16,42,5,5,5,5,5
17,42,4,4,4,4,4
18,42,4,4,5,5,4
19,42,5,4,4,5,4
20,42,5,5,5,5,5
21,42,4,4,5,4,4
22,42,5,5,5,5,5
23,42,4,3,5,5,4
24,42,1,1,1,1,1
25,42,5,5,5,4,5
26,42,3,2,3,4,3
27,42,5,4,5,5,5
28,42,5,5,5,5,5
29,42,3,1,2,2,2
30,42,5,5,5,5,5
31,42,5,4,5,4,4
32,42,5,4,4,4,3
33,42,5,5,5,5,5
34,42,5,4,4,4,4
35,42,4,4,4,5,4
36,42,5,5,5,5,5
37,42,5,4,5,5,4
38,42,5,3,5,4,3
39,42,4,3,3,2,3
40,42,3,3,3,2,3
41,42,5,4,5,4,5
42,42,5,5,5,5,5
43,42,4,3,3,3,3
44,42,5,5,5,5,5
45,42,4,4,4,4,4
46,42,5,4,4,4,4
47,42,5,5,4,3,4
48,42,5,5,5,5,5
49,42,5,4,4,4,4
50,42,4,4,4,4,4
51,42,4,4,4,4,4
52,42,5,5,5,5,5
53,42,5,5,5,5,5
54,42,5,5,5,5,5
55,42,5,5,5,5,5
56,42,5,5,5,5,5
57,42,4,4,4,4,4
58,42,5,5,5,5,5
59,42,5,5,5,5,5
60,42,1,1,1,1,1
61,42,1,1,1,1,1
62,42,1,1,1,1,1
63,42,1,1,1,1,1
64,42,1,1,1,1,1
65,42,1,1,1,1,1
66,42,1,1,1,1,1
67,42,5,5,5,5,5
1,49,5,5,4,4,4
2,49,4,4,5,5,4
3,49,4,4,4,3,4
4,49,5,5,4,2,4
5,49,4,5,4,5,4
6,49,5,5,4,5,4
7,49,5,5,5,5,5
8,49,5,5,5,5,4
9,49,3,3,2,5,3
10,49,5,5,5,5,4
11,49,4,5,4,4,4
12,49,4,3,4,3,3
13,49,4,5,4,4,4
14,49,5,5,5,4,4
15,49,5,2,3,4,3
16,49,5,5,5,5,5
17,49,3,4,4,3,3
18,49,5,5,5,2,4
19,49,3,5,3,4,3
20,49,5,5,5,5,4
21,49,4,5,5,4,4
22,49,5,4,4,4,3
23,49,5,5,5,5,4
24,49,5,5,5,5,5
25,49,4,3,5,5,4
26,49,4,5,4,5,4
27,49,5,5,5,5,4
28,49,5,5,5,5,5
29,49,5,5,5,5,5
30,49,1,1,1,1,1
31,49,1,1,1,1,1
1,50,5,5,5,5,5
2,50,5,5,5,5,5
3,50,5,5,5,5,5
4,50,1,1,1,1,1
1,52,2,2,1,2,2
2,52,3,3,4,4,3
1,56,2,2,2,2,2
2,56,5,5,5,5,5
3,56,5,5,5,5,5
4,56,5,5,5,5,5
5,56,2,2,2,2,2
6,56,1,1,1,1,1
7,56,5,5,5,5,5
8,56,5,5,5,5,5
9,56,5,4,5,4,4
10,56,5,4,4,4,4
11,56,5,5,5,5,5
12,56,5,5,5,5,5
13,56,1,1,1,1,1
14,56,1,1,1,1,1
15,56,5,5,5,5,5
16,56,1,1,1,1,1
17,56,1,1,1,1,1
1,57,5,5,5,5,5
2,57,4,3,4,4,3
3,57,5,5,5,5,5
4,57,4,5,4,5,4
5,57,4,4,4,5,4
6,57,5,5,5,5,5
7,57,5,5,5,5,5
8,57,4,5,5,5,4
9,57,4,4,5,4,4
10,57,5,5,5,4,4
11,57,5,5,5,5,5
12,57,4,4,5,5,4
13,57,5,4,4,5,4
14,57,5,5,5,5,5
15,57,4,4,5,5,4
16,57,5,4,4,4,4
17,57,1,1,1,1,1
18,57,1,1,1,1,1
19,57,1,1,1,1,1
20,57,1,1,1,1,1
21,57,1,1,1,1,1
22,57,1,1,1,1,1
23,57,1,1,1,1,1
24,57,1,1,1,1,1
25,57,1,1,1,1,1
26,57,1,1,1,1,1
27,57,1,1,1,1,1
28,57,1,1,1,1,1
29,57,4,4,4,4,4
30,57,1,1,1,1,1
31,57,4,4,4,4,4
1,63,5,5,5,5,5
2,63,5,5,5,5,4
3,63,4,5,4,5,4
4,63,5,5,5,5,5
5,63,5,4,5,5,4
6,63,3,4,3,5,3
7,63,4,4,4,5,4
8,63,1,2,2,3,2
9,63,5,5,5,5,5
10,63,4,4,5,4,4
11,63,5,4,5,5,4
12,63,3,3,4,3,3
13,63,5,5,5,4,4
14,63,1,1,1,1,1
1,64,5,5,5,5,5
2,64,4,4,5,5,4
3,64,3,2,3,4,3
4,64,4,4,5,3,4
5,64,5,4,5,5,5
6,64,4,2,3,3,3
7,64,5,5,5,5,5
8,64,5,4,5,4,4
9,64,4,3,4,4,3
10,64,4,3,5,4,4
11,64,5,4,5,4,4
12,64,4,4,5,4,4
13,64,5,4,4,4,4
14,64,4,4,4,4,3
15,64,3,5,5,4,4
16,64,4,4,5,4,4
17,64,4,3,4,5,4
18,64,4,4,5,5,4
19,64,5,4,4,4,4
20,64,4,4,5,5,4
21,64,5,4,5,5,4
22,64,5,5,5,5,5
23,64,5,5,5,5,5
24,64,4,5,5,4,4
25,64,3,2,1,1,2
26,64,5,5,5,5,5
1,67,5,5,5,5,5
2,67,1,2,3,2,2
3,67,5,5,5,5,5
4,67,5,5,5,5,5
5,67,3,2,3,3,2
6,67,4,4,4,4,4
7,67,4,3,4,4,3
8,67,4,4,5,4,4
9,67,2,3,3,3,3
10,67,4,4,5,5,4
11,67,5,5,5,5,5
12,67,5,4,5,5,4
13,67,3,5,4,4,4
14,67,4,3,1,2,2
15,67,1,1,1,1,1
16,67,5,5,5,5,5
17,67,1,1,1,1,1
1,71,5,5,5,5,5
2,71,3,3,3,3,3
3,71,4,4,4,5,4
4,71,5,5,5,5,5
5,71,5,5,5,5,5
6,71,1,1,1,1,1
7,71,4,5,4,5,4
8,71,4,4,4,4,4
9,71,5,5,5,5,5
10,71,5,4,4,4,4
11,71,5,5,5,5,5
12,71,3,3,3,3,3
13,71,4,4,4,4,4
1,73,3,4,4,5,3
2,73,5,5,5,5,5
3,73,5,5,5,5,5
4,73,5,5,5,5,5
5,73,4,5,3,5,4
6,73,3,5,4,5,3
7,73,5,4,4,5,4
8,73,5,5,5,5,5
9,73,5,5,5,5,5
10,73,5,4,4,4,4
11,73,1,2,2,4,2
12,73,5,4,5,5,5
13,73,5,5,5,5,5
1,74,5,5,5,5,5
1,75,5,5,5,5,5
2,75,4,4,4,2,4
3,75,5,5,5,5,5
4,75,2,3,2,2,2
5,75,5,5,5,5,5
6,75,5,5,5,5,5
7,75,5,5,5,5,4
8,75,5,5,5,4,5
9,75,4,5,5,3,4
10,75,4,5,5,5,4
11,75,5,5,5,4,5
12,75,5,5,5,5,5
13,75,5,5,5,5,5
14,75,5,5,5,4,5
15,75,4,4,4,4,4
16,75,5,5,5,5,5
17,75,5,5,5,5,5
18,75,5,5,5,5,5
19,75,3,3,3,2,3
20,75,3,3,4,2,3
21,75,5,5,5,5,5
22,75,5,4,4,2,4
23,75,5,5,5,4,5
24,75,1,1,1,1,1
25,75,4,5,5,4,4
26,75,1,1,1,1,1
1,76,1,1,1,1,1
2,76,4,5,4,4,3
3,76,4,4,4,3,3
4,76,5,4,4,2,3
5,76,4,5,5,5,4
6,76,5,5,4,5,4
7,76,5,5,5,5,5
8,76,5,5,4,4,4
9,76,5,5,5,5,5
10,76,5,5,5,5,5
11,76,5,5,5,5,5
12,76,5,5,5,5,5
1,86,2,2,1,2,1
2,86,5,5,5,5,5
3,86,5,5,5,5,5
4,86,2,2,2,3,2
5,86,5,4,5,4,4
6,86,2,4,1,3,2
7,86,4,4,4,5,4
8,86,4,3,4,4,4
9,86,3,4,3,4,3
10,86,5,5,5,5,5
11,86,3,3,3,4,3
12,86,4,4,4,3,4
13,86,4,4,5,5,4
14,86,5,5,5,4,4
15,86,4,5,4,5,4
16,86,4,4,4,5,4
17,86,2,2,2,2,2
18,86,5,5,5,5,5
19,86,5,4,4,5,4
20,86,3,3,3,5,3
21,86,2,2,1,3,2
22,86,1,1,1,1,1
23,86,5,5,5,5,5
24,86,5,4,4,4,4
25,86,4,4,4,5,4
26,86,5,5,4,5,4
27,86,4,4,4,5,4
28,86,5,5,5,5,5
29,86,5,4,5,4,4
30,86,5,2,3,3,3
31,86,5,5,4,5,4
32,86,1,1,1,1,1
33,86,4,4,4,5,4
34,86,5,4,5,4,4
35,86,3,4,4,3,3
36,86,5,4,4,5,4
37,86,5,5,5,5,5
38,86,5,4,4,5,4
39,86,5,5,5,5,5
40,86,4,5,4,4,4
41,86,5,5,5,5,4
42,86,5,5,5,5,5
43,86,5,5,4,3,4
44,86,5,4,4,5,4
45,86,4,3,5,5,4
46,86,5,5,5,5,5
47,86,5,4,5,4,4
48,86,4,4,5,5,4
49,86,2,2,1,3,2
50,86,5,5,5,5,5
51,86,4,3,4,4,4
52,86,5,5,3,5,4
53,86,4,4,5,5,4
54,86,5,4,5,5,4
55,86,4,3,5,4,3
56,86,3,3,3,2,2
57,86,5,5,5,5,5
58,86,5,4,4,5,4
59,86,5,3,5,4,4
60,86,4,4,5,5,4
61,86,5,2,5,4,4
62,86,4,5,4,3,4
63,86,4,3,4,4,3
64,86,5,5,5,5,5
65,86,2,1,2,2,2
66,86,5,5,5,5,5
67,86,5,5,5,5,5
68,86,5,4,4,4,4
69,86,5,5,5,4,5
70,86,4,5,5,5,4
71,86,5,5,4,5,4
72,86,5,5,5,5,5
73,86,5,5,5,5,4
74,86,4,4,5,4,4
75,86,5,5,5,5,5
76,86,3,4,4,4,3
77,86,4,4,4,5,4
78,86,5,5,4,5,5
79,86,4,5,5,5,4
80,86,5,5,4,5,4
81,86,1,1,1,1,1
82,86,2,3,4,2,2
83,86,5,5,5,5,5
84,86,3,2,4,3,3
85,86,1,1,1,1,1
86,86,5,5,5,5,4
87,86,3,3,2,3,3
88,86,5,5,4,5,4
89,86,1,1,1,2,1
90,86,4,5,4,5,4
91,86,4,4,4,5,4
92,86,4,4,5,5,4
93,86,1,4,2,3,2
94,86,4,5,4,3,4
95,86,1,1,1,1,1
96,86,4,4,4,4,4
97,86,5,5,5,5,5
98,86,5,5,5,4,5
99,86,5,5,5,5,5
100,86,4,5,3,4,4
101,86,4,4,5,5,4
102,86,2,2,1,2,2
103,86,5,5,5,5,5
104,86,3,3,1,3,2
105,86,4,5,5,5,4
106,86,4,5,5,5,4
107,86,2,2,3,2,2
108,86,3,4,4,5,4
109,86,4,5,5,5,4
110,86,3,4,3,3,3
111,86,4,4,4,4,4
112,86,4,4,4,4,4
113,86,5,5,5,5,5
114,86,5,5,5,5,5
115,86,1,1,1,1,1
116,86,1,1,1,1,1
117,86,1,1,1,1,1
118,86,5,5,5,5,5
119,86,5,5,5,5,5
120,86,1,1,1,1,1
121,86,1,1,1,1,1
122,86,5,5,5,5,5
123,86,5,5,5,5,5
124,86,5,5,5,5,5
125,86,1,1,1,1,1
126,86,4,4,4,4,4
127,86,5,5,5,5,5
128,86,1,1,1,1,1
129,86,4,4,4,4,4
130,86,1,1,1,1,1
131,86,1,1,1,1,1
132,86,1,1,1,1,1
133,86,4,4,4,4,4
134,86,5,5,5,5,5
135,86,5,5,5,5,5
136,86,1,1,1,1,1
137,86,5,5,5,5,5
138,86,5,5,5,5,5
139,86,2,2,2,2,2
140,86,5,5,5,5,5
141,86,5,5,5,5,5
142,86,5,5,5,5,5
1,89,5,5,5,5,5
2,89,5,5,5,5,5
3,89,5,5,5,5,5
4,89,5,5,5,5,5
5,89,4,5,5,5,4
1,96,4,3,3,1,3
2,96,3,3,3,3,3
3,96,5,5,5,5,5
4,96,5,4,4,5,4
5,96,4,5,5,5,4
6,96,3,3,3,1,3
