IDREVIEW,HOTELID,REVIEW
21,1724,Sep 28 2009 	Very nice hotel walking distance to Connaught Place	Very nice hotel with helpful staff and walking distance to Connaught Place
32,1724,"Jul 21 2009	The Best Hotel I Have Stayed At	I initially planned on staying at the Lalit for only a few days in February before moving on to another place, but had such a good experience that I ended up staying here until my trip ended in June.What made my experience memorable was the kind of service that my family and I received. I fell ill on my 2nd or 3rd day and when one of the housekeepers learned of this, he asked if I needed any medical assistance. We told him that I would be fine, and thanked him. Later that evening, I received a phone call from somebody--front desk, I believe--asking how I was feeling. The next morning a manager asked me how I was doing and connected me with a doctor, who prescribed medication for me. Receiving that sort of attention says a lot about their level of service, and it continued after I extended my stay. Everyone from the bottom to the topfrom porters, waiters, and housekeeping to upper management--treated us like we were VIPs. As for the hotel, itself...Just as other reviewers have mentioned, the hotel is beautiful and decorated in a contemporary style.The standard rooms are comfortable and of a good size. I liked the furniture and decor. The hardwood floors are a nice touch and also function well in keeping the room cool. After a long, hot day, I would love to return to my room and turn on the large flat-panel TV while sitting on the comfy bed. Although there are plenty of dining options outside of the hotel, the 24/7 &quot;coffee shop&quot; located on the lobby level served all our needs and we rarely bothered eating out. It is run very well, and the service was excellent during my stay. The wait staff was attentive and always very friendly and the chefs, themselves, would often drop by to ask how the food was, eager for feedback. The breakfast buffet is very nice--it's possible that the selection may vary depending on whether or not it's tourist season, but regardless they offer both continental and Indian fare. The bakery next to the 24/7 coffee shop is also nice.There are other restaurants in the hotel, and I must say that the Baluchi restaurant is great. The food is good, and 6 days a week there is live music performed at night. I would sometimes just go there to listen to the ghazals before turning in for the night.The fitness center, which is open 24 hours a day is good, and quite exceptional for a hotel--free weights, machines (including a Smith machine), treadmills and bikes as well as a small yoga/stretching room. Next to the fitness center is the spa and the lovely swimming pool, which opened at the beginning of March.The location is excellent. It is not very far from any of the tourist destinations. In fact, we could see two historic landmarks (India Gate and Humayun's Tomb) from our hotel room window. It is within walking distance of the main Connaught Place circus and a few other markets--the main Connaught Place center, as well as the smaller Bengali and Shankar markets. It is also very close to a metro station. All of these are 5-10 minute walks from the hotel, though there are also plenty of auto rickshaws outside the hotel grounds and along the way if you prefer not to walk.Overall, this hotel has a lot going for it. I had a great experience, and although I had never heard of the Lalit hotel chain prior to my visit, I would most certainly wish to stay there again if I return to Delhi."
33,1724,"Jul 14 2009 	Beautiful Hotel Exceptional Service Great Food	I stayed at the Lalit for a week while in Delhi this past spring and would HIGHLY recommend it to any travelers visiting the city. The hotel is absolutely beautiful and the staff was phenomenal. Overall, it was without a doubt one of the best hotel experiences I've had to date. -StaffThe Lalit's staff is perhaps what sets it apart from other hotels, in that they seem to go above and beyond to be hospitable to the hotel's guests. Everyone was extremely friendly and always willing to go out of his/her way to ensure that we were properly taken care of during our stay (especially the wait staff at the 24/7 restaurant downstairs).-RoomsAs far as comfort goes, the Lalit's rooms are what you would expect from any really nice hotel in the US or Europe. What I think set it apart from others was the level of cleanliness (immaculate!) in the room. Also, the room we stayed in was beautifully furnished with modern decor, making it very pleasing from an aesthetic standpoint as well. -LocationThe hotel is located very centrally, in Delhi's Connaught Place district. This was great as we were close to many of the main tourist attractions (Humayun's Tomb, India Gate, etc.), and certainly not far from the others. Given the traffic situation in Delhi, this proved to be very advantageous throughout the trip.-DiningThere are at least two or three restaurants housed in the hotel, however I never ventured beyond its main &quot;24/7 Cafe&quot;, where I ate at least two meals each day. The menu is reasonably-priced and very extensive, offering American, Italian, Japanese, and of course, Indian dishes. Perhaps the best part of the restaurant (aside from the fact that it is open at all hours) was the daily breakfast buffet, which offered a wide variety of fresh fruits, cheeses, pastries, cereals, eggs/omlettes, and much, much more.-Fitness Center/SpaAlso worth noting is the Lalit's exceptional fitness center, which offers a number of exercise options and wonderful equipment (free weights, weight machines, ellipticals, treadmills). Additionally, they also offer kickboxing classes, as well as yoga. There is also a spa attached, though I did not make use of it.-PoolJust outside the fitness center is a gorgeous outdoor pool, where you can even order food and beverages to snack on while relaxing by the water."
34,1724,"Jul 10 2009 	Pleasant...the best beds this side of delhi	The best bit about the hotel is that even though its in Connaught Place, its still removed enough from the madness. Its all but 10 minutes of walking to CP inner circle and janpath and similar to the metro station. Ideal for the business traveller as much of the Cp business district is like next door.Also refreshing was the room (though the touch up work was little sketchy at places - leaving much to desire) but the rain head shower, the bath tub, the clear class partition between the room and the washroom...was clam and simple.The minibar left much a lot much to desire, i mean 4 cans of soda and two bottles of water, please gimme sm more. The most comfortable bit about my room 2103 was the beds...the best beds i have slept in the mattress was divine to say the least soft but just the right amount, and the pillows again really nice...i had one of the most comfortable night caps ever in a hotel.I tried just a bit of the breakfast and whatever i had was nice...There was some wall patchwork done which was really visible on the bedside, and sm of the woodwork needed a new varnish but it was still a really nice stay. Oh just one more thing maybe maybe they could have a few more ppl at the front desk i, waited a good 15 minutes before the three could maybe tend to my checkout (which was performed by smone other than the actual front desk staff)."
35,1724,"Jun 22 2009 	Excellent 5 Star hotel	Really first cladd hotel, or both business and pleasure, Spotlessly clean, excelent service. The outdoor pool is perfect. Food is good - especially the choice at buffet breakast (so make sure its included in your rate) - fresh fruit, omelettes/eggs cooked to order, Japanese - and of course Indian (so if you'e new to India, this is a safe intro to the joys of dosas, vadi, bhajis, uppam etc!). The Spa is World class too - but priced accordingly (ie its not cheap).The newly renovated rooms on the upper floors have everythig you could ever need - great bathrooms, massive flat screen TV etc.Tip: use black &amp; yellow taxi's to get around (negotiate fixed price) - the Lalits own car may be air-con - but its also at least 5 times as expensive."
36,1724,"Jun 22 2009 	Need to train their support staff	The stay was comfortable, and few support functions were good. I was in Delhi on a business trip and hence did not spend much time in the room though. Had to check in and out more than a couple of times due to my work schedule. Got different rooms each time and therefore was able to experience variety. At the reception, not always is the best room allotted even if requested for. Some support staff are terrible and need severe training. One of the managers at the reception was very helpful, even when the credit card system was not operational. Overall a good experience, but need to put their act together given their positioning."
37,1724,"Jun 18 2009 	Lalit well situated but....	My friend and I stayed here for 4 days in late November. The Lalit was formerly the Intercontinental; it was taken over by Indian hotel magnate Lalit Suri. We had booked our reservation at the Intercon so were surprised to see the Lalit sign and flags in front - we thought the cab driver dropped us at the wrong hotel! It just so happened that we arrived on the day the new name was unveiled.The entrance to the hotel is almost right off the street, so no grounds to speak of. The hotel lobby is beautifully decorated with modern flair and some enormous paintings of the Suri family. Check in was smooth, although the staff were not especially pleasant. The hotel has several elevators, but it always seems to be a long wait to catch one.Rooms are modern and well appointed. We stayed in a standard room with 2 double beds - it was a little cramped, but comfortable and clean. The hotel has a very cosmopolitan feel, with travelers from many different countries. We met people from Africa, China, Europe and Australia and the US. It is situated about a 15 min walk to Connaught Place and within short driving distance to many historical and modern attractions. There are some great restaurants and bars serving international fare in Connaught Place - ask the concierge at the hotel to make reservations for you.Our biggest complaint was dining at the Lalit. There is a buffet restaurant to the right of the main lobby, but there wasn't much variety nor was the food very good. We had to wait a long time for a server to take our drink orders, and dishes were not cleared away in a timely manner so ended up crowding our table. There is also a pastry shop that at that time did not sell coffee or small pastries that you could grab on the run. The 24/7 Bar only served food/snacks while the buffet restaurant was open, and it was the same stuff as served in the buffet.We also tried to eat at Woks because we had heard some good things about it, but after waiting 2 hours were still not seated. It got so late we just got take out and took it back to our room. After all that, the food was disappointing - greasy and tasteless. Needless to say, after that we just ate off site.Overall - nice, well kept hotel, well situated. Service was passable. Just find other places to eat."
38,1724,"Jun 17 2009 	Excellent Hotel in Convenient Part of City	Great large Rooms and ovesized modern bathrooms. Nice views as well. Ate at two of the hotel restuarants, WOK on the top floor surpassed expectations with excellent food, though slow service. The cafe on the 3rd floor was mediocre at best. Service was excellent throughout our stay. Would definitely recommend the hotel for both business and leisure."
39,1724,"Jun 13 2009 	Business friendly hotel	Good business hotel, right in the heart of delhi.situated in the CBD of CP/Barakhamba road and very close to Barakhamba metro station, this hotel smacks of business opulence. I stayed here for almost three months and became and gold member of priority club.The deals are normally around 10k INR per night though it might rise upto 15k in the busy season.it has one of the two heated swimming pools in all of delhi.Okish restaurents but the coffee shop has a lavish spread for breakfast. The best thing about this was the quality of the rooms - lots of gadgets, transparent glasses for bathroom walls and clean look to the entire place.I recommend this."
40,1724,"Jun 7 2009 	Loved the Bathroom	I stayed in the hotel in the month of April '09. The hotel is magnificent and I have just loved the bathroom which has a glass wall. It is so lovely that it was hard to drag myself away from the bath to the room. It was so hot and busy there, I couldn't wait to get back to the peace and tranquility of the bath. I was expecting a few nibbles but breakfast is a lovely continental spread with cheeses fruit pastries etc. Quite difficult to fit in any meals out after all that! The hotel lobby is splendid with very good decor &amp; ambience. 3 things I would like the hotel to look into:- The interiors of the rooms need to be done up. In my room the walls hd some cracks &amp; patchwork of painitngs were clearly visible which does not shw the hotel in the right perspective.- The other thing I would like to highlight is that the hotel still does not have a loyalty program &amp; no tie ups with any airlines. This is a little bizarre consideing the tough competition that the industry is in.- Airport pickups &amp; drops are charged......this is something weird I found!! In my view one of the journeys could be charged, but not both!! BUT overall I would say this is probably the best hotel I have stayed in off late. Perhaps not the most convenient if you have business in Gurgaon!! But if you want to mix of good food, service with the odd trip to connaught place then this is an absolute must!!Do pay heed to my suggestions....Lalit will definitely go a long way in fulfilling Mr. Lalit Suri's dreams!!"
41,1724,Jun 4 2009 	Great service	I was at The Lalit during a period of 2nights. I visited Delhi for business purpose and decided to be put up at The Lalit. My decision was wise as the service rendered was very pleasing.The staff was extremely courteous. The food was authentic and delicious. I was extremely happy with their service &amp; I shall always recommend The Lalit to everybody.
42,1724,"Jun 3 2009 	Best for Business events	- Stay is calm- Staff very good- Excellent place for business events- Food, excellent and having real taste of India- Location: in middle of Delhi- Airport is just 30 to 40 minutes away."
43,1724,Jun 3 2009 	nice stay	Much more than expected. I went Delhi to attend a national meeting. My company opted me to stay at hotel lalit. The ambience of hotel is very gud. Service is very fast and courteous.I liked the food and dining of this hotel very much.
44,1724,"Jun 2 2009 	Great new location old refurnished classy hotel	the Lalit is the newer version of the Old Intercontinental hotel which used to be there. taken over by a new management, this hotel is very much up to the mark.great place to be, an absolute 5 star...ciaoronak"
45,1724,Jun 2 2009 	Advantage Location	This hotel is in heart of Delhi and is the best in terms of location and logistics.The food in all the returants at this place is fingerlicking good.The rooms are sufficently large with spacious washrooms.The gym and the spa at this place is really good.Overall this is a good hotel in the heart of Delhi
46,1724,"May 22 2009 	Looks good but too many niggles ...	February 2009 saw my first stay at the renovated Lalit after several stays there in the 'old days'. On arrival the hotel looks very impressive but it didn't really live up to expectations due to a number of small problems. Check in was very slow and complicated which was very frustrating as we arrived at 10:30pm. I was travelling with an Indian colleague and we both had to endure a lengthy (and unnecessary) form filling exercise which apparently is part of their procedures. Although the hotel has been renovated the old lifts remain which are rather slow and one of my pet hates. The rooms have been very well decorated with comfortable beds and a huge flat screen television. However, as other reviewers have mentioned, the proximity to the railway station can make for a rather noisy night. Although very busy I have to say that breakfast is superb with an enormous array of food to cater for all tastes and dietary requirements. Another problem came on check out where I was significantly UNDERCHARGED on my bill and had to wait until it was corrected. Overall you will be comfortable and well looked after at the Lalit, they just need to work a bit harder on some of the smaller things, particularly at reception."
47,1724,"May 21 2009 	Grand .....	I thought the hotel was stunning .... i can see on the site that people had poor service well that was not experience ... there was a missing bathrobe in my room one day which I needed to go the swimming I had one in less than 5mn upon request.I used all the services the gym , the spa, the swimming pool, the traditional Indian restaurant everything was a delight.... Considering it was 43C when I visited the hotel was a peaceful and refreshing haven from the bustle and heat from the city"
48,1724,"May 20 2009 	Not really a good hotel to stay	I found their services to be very poor and staff reluctant to entertain the guests. The locker in the room was not working and at reception I asked them to keep my passport. They retorted by telling me that I should keep the passport in locker in the room. When I told them locker is not working, they said sorry but they can't keep. They didn't either change the room or got the locker repaired.This hotel is near by a railway station and it was difficult to sleep with trains hooting away whole night."
49,1724,May 10 2009 	Perfect Business Spot	It is the perfect Business hotel in the heart of the city. The hotel has a great SPA which you should visit and use the facility. The resturant has a big spread of menu and food is average. Lot of place to hang around near by and shopping too.
50,1724,"May 6 2009 	Loved the new decor of hotel	Visited this hotel on a business visit and was very pleased with the arrangements. The hotel is just renovated and its a great atmosphere to mix business with pleasures in that hotel. Rooms are very good and I enjoyed the stay. The only problem here is the STAFF not friendly, the room service takes a lot of time and most of the time the staff is too confused if you ask them anything, they are a bit rude a bit attitude problem I can say. Overall well equipped, good food, great bar a perfect place for business if they have a better staff."
51,1724,May 2 2009 	love 24/7	i like the overall experience ...and moreover i visit 24/7 very frequently ..im in love with it totally...coz you get liquor there 24/7 ..name suggests all ...
52,1724,May 1 2009 	Good Hotel for a Business Traveller	A good-quality business hotel in a convenient location with excellent dining options.
53,1724,"Apr 29 2009 	Hate the place	This was a crazy stay. Was booked for two nights with my family, but it was possibly the worst stay ever.Checkin etc was smooth, but the first evening, the air conditioner for the entire hotel went off. There was some scheduled maintenance going on and was supposed to go on for a couple of hours initially, but it went on till the next afternoon.In Delhi's heat, this five star hotel gave us a torrid time. The staff ran out of fans and we could not even open our window.The staff did not help much. I ended up arguing with them regarding the fare they were charging me. They had the gall to present me with a full bill on check out. It made me furious.Terrible, terrible, terrible.One positive thing about the hotel is it's good location. If you are willing to walk a few steps, CP is almost next door."
54,1724,"Apr 28 2009 	Better After Renovation	The Lalit has come up with a New Look after Renovation , The Rooms are Much better and location as usual is good Close to many of the offices. The Restaurant is also very nice"
55,1724,"Apr 25 2009 	Great Experience	In totality it was a great experience. Food, stay was really satisfying and to add to that, slept really well after a really long work schedules. Service at the restaurant was good. The Hotel was very secure too."
56,1724,"Apr 25 2009 	Great place	Stayed in the presidential suite for 1 night due to unavailability of space. Rate of 400 USD per night, did not matter since my client was paying! It was one of the best experiences of my life. The complementary wine, the jacuzzi and the rest of the services were first class. The brekfast was excellent as well. The decor was fantastic and the location of the hotel is perfect for access to central New Delhi. Recommended for anyone wanted to stay in an upmarket place"
57,1724,"Apr 20 2009 	Dont touch the mini bar!	Goes without saying I suppose, but tired and frazzled after a days travel the thought of a reviving G&amp;T is irresistble until you clock the prices in this hotel . R900for a gin or other spirit then add tax on top. They know how to charge here. Also beware of the buffet, average though it is, costs R1770. You expect excellent service at this price, but it took over an hour before I could get into my room as the wrong key card was issued 3 times."
58,1724,"Apr 17 2009 	intercontinental touch is missing...	While, I had been going in this hotel for a while, this was part of the priority club and now probably independent and named as Lalit. The intercontinental touch is gone, the service level has gone down and I found the people to be more aloof than before. Their breakfast used to be one of the very best and very exhaustive. They were able to amintain that so far, however I see people are little disoriented now. The maintanance of their gym and swimming pool is also going poor now."
59,1724,"Apr 17 2009 	Lalit good value for money	The Lalit has been through a major overhaul and the renovated rooms are well appointed with large flat TVs, glass walled bath and shower area and a huge glass window to give a view of the city.Elevators are still being upgraded to the wait is sometimes longer.Food was not upto the standards of the old hotel (Intercontinental). Breakfast was boring with only one fresh juice and one canned juice option. Usual eggs and sausage (no smoked salmon) and Indian parathas and dosas etc.The mini bar has flavoured water for Rs 175/- which is a total rip off. The hotel only gives you 2 small bottles of water per day which is not adequate.Staff is a bit uncertain at times, check out took a long time.All in all a good hotel at a modest price in New Delhi's Connaught Place area."
60,1724,"Apr 16 2009 	Very good hotel - would recommend it.	Just back from a 4 night stay at The Lalit. Very impressed with the hotel - pick up from airport and check in were very smooth and quick and staff were all very friendly and eager to help. Really good location - very easy to get a taxi/auto rickshaw or even walk up to Connaught Place. The doormen were always ready to get you a taxi and not push the hotel cars.We had two double rooms on the 21st floor and, although you could see the railway line from one room, the noise from the trains was very distant and did not bother us at all. The rooms were very well equipped - the only thing lacking was the usual hotel guide, although there was a room service menu. The bathroom was very nice, but the mini bar was very sparsely stocked - only things in the fridge were one can each of coke and fanta!! (although they did provide 4 bottles of water every day). Breakfast was very good and we ate at the 24/7 lobby restaurant one night which was very nice, although the continual repeating chillout music got on your nerves after a while.My daughters really enjoyed the pool area - in particular the lovely lounging chairs on the edge of the pool and my eldest and myself used the spa and thoroughly enjoyed it - very reasonably priced, too. Wouldn't hesitate to stay there again if in New Delhi. Had a really nice short break on the whole and we were not harrassed half as much as we expected even though my 18 yr old has long blonde hair and attracted lots of 'friendly stares' and lots of requests for photographs!"
61,1724,"Apr 10 2009 	great breakfast spacious clean room too much noise from trains	excellent hotel in terms of cleanliness, service, quality of food (especially at breakfast) and safe. However, too close to train station, so lots of noise all night and day. Good location though."
62,1724,Apr 6 2009 	NAIL IN THE MAIN BED..GOT HURT DR IN HOTEL GAVE AN ANTI TITANUS INJECTION	nail in the frame of the main bed which hurt me in the leg..a Dr was summoned and who gave an anti titanus injection...later i found other rooms carpertners banging away at the beds as they may have had the same problem also the hotel is too close to a railway station with trains hooting away day and night..
63,1724,"Apr 5 2009	Nice Comfortable Hotel Room for Improvement	We stayed three nights in total with a wedding party. The hotel's decor is very impressive and modern. The rooms are comfortable and we had nice views of the city. The breakfast is decent but I've had better at similar level of hotels.The pool area is also newly renovated and is very nice. But I almost wished that it's indoor because the air in Delhi is just so polluted that it wasn't very enjoyable breathing in all the fumes and pollution while relaxing at the pool.The major complaint that I have is on the service. Check-in is extremely slow. If there were two or three people in front of you on line, be prepared to wait for over 20 minutes just to check in. We had to check in twice because our three nights were split up and both times we had similar experience.Also staff at front desk seem confused sometimes. One time a front desk person actually told me the wrong information regarding hours of the sauna room in the gym area. Another time I wanted to break a large bill and the person sent me down the desk to another area but ended with no one helping me. Despite the hiccups in service, it was a comfortable hotel and I would stay here again if I could get a good deal on a room."
64,1724,"Mar 29 2009 	Good could do with some improvements	I stayed at this Hotel for one night on a Business Trip to Delhi. Hotel is quite centrally located, thats a major plus point.Crowded Lobby, Check in was chaotic, took some time to get my room allocated. Staff seemed confused and unable to handle large crowds at the same time.Room was nice and spacious, excellent view of the city, large comfortable bed, clean and large bathroom. Room Amneties were excellent. They even had cellphone chargers for most models in the room. Tried out room service for dinner. Order arrived on time, Food was good, not excellent.Breakfast spread the next morning was basic, not something to write home about. The Lunch buffet was however excellent, though expensive.There are two things that I did not like about the Hotel.1. The staff tend to linger around waiting for tips, it happened to me thrice during my stay. This irritated me quite a lot.2. Though Recession has brought down Hotel Tariffs, the rates for the all the other services and facilities remain the same. It seems stupid to pay over inflated prices for almost everything when the same thing is available outside for 1/10th the price. So even though I was travelling on company expense, it pinched.overall an average experience. recommended for Business travel only."
65,1724,"Mar 26 2009 	Luxury Hotel Superb Location! Loved It!!!!!!	I've just stayed at the Lalit with my family for 2 nights in March.. This hotel is definately worth it's points. The minute u walk in to the lobby, the features and decor are very modern. The service was great, I couldn't say a bad thing about it, the pool area was lovely, my kids loved it. I've stayed in some 5 star hotels before, but this was even better than the ones we've stayed in London. You wouldn't be disappointed, I would recommend this hotel to anyone. There was alot of business people around, but on our second day there was a few more families. There is a pastry shop in the hotel which is not to badly priced, but other than that we ordered drinks at the poolside bar, which was very steep. We had breakfast in the 24/7 restaurant, which was lovely, it was probably the best meal my kids had had since we had been in India. There was such a wide range, to cater for all. The hotel also had agradin area, where daytime shows were on, also on the second floor the hotel has a range of boutiques and gift shops. The best thing about the Lalit was the location. It is literally 5 minute walk from Connaught Place, 5 minute car jouirney to the train station and it only took us half an hour in peak time to the Airport. Overall, I would say I made a very good choice staying at the Lalit. I'd been looking for accomadtion for nearly 2 months prior to my journey. Having 3 young children, I wanted a nice hotel, with a good pool and in a good location. I had firstly booked the Radisson, but cancelled last minute due to it's location. Lalit was definately very impressive!"
66,1724,"Mar 8 2009 	The Lalit: A magnificent surprise in a great Delhi location	I spent 4 days at this hotel in mid-Feb with my wife and son. The hotel was arranged by our Delhi office so I was a little surprised it was not a brand that I recognized....but boy, what an absolutely outstanding experience! While every aspect of my experience was great, with no negatives, here are the highlights:1. The people were the best thing about this hotel.....they were warm, friendly, polished and VERY hospitable. They made us feel really welcome and service was excellent at every place. (I thought they had mistaken me for some VIP, but my wife and son had the same experience). 2. The rooms were very nice..... bright, tastefully furnished, fairly large, and very well equipped. 3. The 24/7 restaurant is probably the best &quot;coffee shop&quot; I have experienced.....great food, served beautifully, in a very pleasant setting. The breakfast buffet was outstanding. While we had intended to eat out and try Delhi's many restaurants, we ended up eating here pretty much all the time, . 4. The facility overall was beautiful.....it was rich without seeming formal; very bright, airy, beautifully decorated, with a collection of art by top Indian artists. (It's the only hotel I know of that has a full-time curator! ).5. The location was superb....right in Connaught Place, in central Delhi. It is hard to find a better location in Delhi. It is close to shopping, business, government, parliament, the historic old Delhi, the newer monuments, etc.. Given Delhi's traffic congestion, that was a major boon. I understand that the hotel has been recently renovated, which I am sure added to its attractiveness, but I have to believe that the outstanding service and flawless operation we experienced was the result of excellent management. (And you could see them all over the place all the time!). Bottom line, a superb hotel we would gladly recommend to our friends."
67,1724,"Mar 8 2009 	Loved this hotel	I loved this hotel! I've travelled a lot and this would have to be one of the nicest hotels I have stayed in. The room was fabulous, the staff were very attentive and helpful. The buffet was amazing - breakfast lunch and dinner and room service was spot on. The room was quiet, it had an ironing board - the only hotel I came across in India that had one!!! Attention to detail was excellent in the room - variety of newspapers, chocolates - all I can say was it was fantastic. Only downside was the pool was still closed for renovation, and the restaurant was a little expensive, but overall - I'd highly recommend it."
68,1724,"Feb 18 2009 	Recently renovated but pool is closed.	Nicely renovated hotel. Good size rooms. Excellent interior decor. Somewhat noisy, even though our room was on a high floor. The hotel is right at the heart of the city. Dining is open 24/7, and breakfast is a tremendous feast. Pool is currently being renovated so is closed; gym is small but functional."
69,1724,Feb 4 2009 	a treat	When we first arrived in New Delhi we stayed at the Shangri-La but found it to be rather cold &amp; standoffish. When we returned to new Delhi we went to check in at Shangri-La again but found they's increased the nightly rate over 25% or 120 USD in less than 2 weeks. We looked around and found La Lit to be the most reasonable luxury hotel that were willing to negotiate a fair price. The newly renovated rooms were stunning &amp; almost identical to rooms at the Shangri-La. We found the hotel atmosphere a lot friendlier and more welcoming and always bustling with locals and travellers. The breakfat buffet was outstanding! If given the choice would definately stay at La Lit! Would highly recommend this hotel- a real treat.
